19-09-2023 11:13:54 error: login,v1/admin/login,Successfully Logged-In,200,Tue Sep 19 2023 11:13:54 GMT+0530 (India Standard Time),Tue Sep 19 2023 11:13:54 GMT+0530 (India Standard Time)
19-09-2023 11:19:52 error: createProject,v1/project/addProject,City name cannot be empty,400,Tue Sep 19 2023 11:19:52 GMT+0530 (India Standard Time),Tue Sep 19 2023 11:19:52 GMT+0530 (India Standard Time)
19-09-2023 11:19:59 error: createProject,v1/project/addProject,Pin Code cannot be empty,400,Tue Sep 19 2023 11:19:59 GMT+0530 (India Standard Time),Tue Sep 19 2023 11:19:59 GMT+0530 (India Standard Time)
19-09-2023 11:21:24 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 19 2023 11:21:24 GMT+0530 (India Standard Time),Tue Sep 19 2023 11:21:24 GMT+0530 (India Standard Time)
19-09-2023 11:23:19 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 19 2023 11:23:19 GMT+0530 (India Standard Time),Tue Sep 19 2023 11:23:19 GMT+0530 (India Standard Time)
19-09-2023 11:24:02 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 19 2023 11:24:02 GMT+0530 (India Standard Time),Tue Sep 19 2023 11:24:02 GMT+0530 (India Standard Time)
19-09-2023 11:25:06 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 19 2023 11:25:06 GMT+0530 (India Standard Time),Tue Sep 19 2023 11:25:06 GMT+0530 (India Standard Time)
19-09-2023 11:31:00 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 19 2023 11:31:00 GMT+0530 (India Standard Time),Tue Sep 19 2023 11:31:00 GMT+0530 (India Standard Time)
19-09-2023 11:32:07 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 19 2023 11:32:07 GMT+0530 (India Standard Time),Tue Sep 19 2023 11:32:07 GMT+0530 (India Standard Time)
19-09-2023 11:32:25 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Tue Sep 19 2023 11:32:25 GMT+0530 (India Standard Time),Tue Sep 19 2023 11:32:25 GMT+0530 (India Standard Time)
